date,entry_close,pred_close,actual_close,correct
2024-06-10,17.97,34.0761,17.09,0
2024-06-11,17.57,30.0635,15.86,0
2024-06-12,17.91,35.575,17.17,0
2024-06-13,16.78,31.5379,16.75,0
2024-06-14,16.4,31.4636,17.22,1
2024-06-17,16.46,33.6266,18.91,1
2024-06-18,16.08,30.4339,19.91,1
2024-06-20,15.53,31.1312,20.3,1
2024-06-21,15.97,31.7927,20.63,1
2024-06-24,16.7,26.7233,20.22,1
2024-06-25,16.02,30.4573,20.29,1
2024-06-26,16.46,31.1327,20.81,1
2024-06-27,16.54,25.9785,21.37,1
2024-06-28,16.26,32.2358,23.19,1
2024-07-01,15.81,28.0413,21.89,1
2024-07-02,16.01,34.9963,22.34,1
2024-07-03,15.73,28.869,22.59,1
2024-07-05,15.71,28.4843,22.62,1
2024-07-08,16.15,27.7103,21.59,1
2024-07-09,15.52,25.2127,21.04,1
2024-07-10,15.38,27.8649,20.69,1
2024-07-11,16.52,21.9673,21.84,1
2024-07-12,17.11,30.0457,21.2,1
2024-07-15,16.93,33.7048,21.19,1
2024-07-16,17.65,31.2,21.09,1
2024-07-17,18.09,29.3221,20.88,1
2024-07-18,16.37,31.7611,21.62,1
2024-07-19,16.21,22.3311,21.91,1
2024-07-22,16.47,24.7413,21.95,1
2024-07-23,16.92,31.0286,21.79,1
2024-07-24,15.6,28.5254,21.27,1
2024-07-25,16.18,25.9479,22.11,1
2024-07-26,16.61,25.1443,21.87,1
2024-07-29,16.35,22.6229,21.21,1
2024-07-30,16.17,27.1374,20.25,1
2024-07-31,16.36,27.3168,20.41,1
2024-08-01,15.35,20.5015,19.72,1
2024-08-02,15.32,23.0101,20.52,1
2024-08-05,14.48,28.5776,20.73,1
2024-08-06,14.25,24.2491,20.7,1
2024-08-07,13.93,32.0924,20.08,1
2024-08-08,14.36,28.0003,20.83,1
2024-08-09,15.54,20.9062,20.31,1
2024-08-12,15.21,25.7907,21.62,1
2024-08-13,16.25,28.005,21.67,1
2024-08-14,15.82,19.4295,22.21,1
2024-08-15,16.32,23.4802,20.5,1
2024-08-16,16.51,28.1224,20.2,1
2024-08-19,16.72,25.9939,19.22,1
2024-08-20,17.02,22.79,19.13,1
2024-08-21,17.3,27.9861,18.84,1
2024-08-22,16.87,30.8579,17.34,1
2024-08-23,17.88,24.9311,17.99,1
2024-08-26,17.72,32.5976,19.8,1
2024-08-27,17.26,27.0848,21.63,1
2024-08-28,16.46,23.8784,22.46,1
2024-08-29,16.67,24.7101,23.53,1
2024-08-30,16.37,25.1625,24.02,1
2024-09-03,16.7,22.2005,23.36,1
2024-09-04,15.94,21.5084,23.47,1
2024-09-05,17.09,24.6896,24.11,1
2024-09-06,15.86,23.4054,24.25,1
2024-09-09,17.17,21.5821,24.45,1
