date,entry_close,pred_close,actual_close,correct
2024-06-10,6.81,7.9355,7.86,1
2024-06-11,6.82,7.6772,7.79,1
2024-06-12,6.78,7.5187,7.46,1
2024-06-13,6.76,7.8233,6.81,1
2024-06-14,6.68,7.7957,6.79,1
2024-06-17,6.94,7.5511,7.31,1
2024-06-18,6.95,7.2693,7.65,1
2024-06-20,6.99,6.4987,7.92,0
2024-06-21,6.99,7.2015,7.79,1
2024-06-24,7.13,8.0817,7.69,1
2024-06-25,6.94,7.7047,7.93,1
2024-06-26,7.04,7.2408,7.99,1
2024-06-27,6.85,6.9946,7.76,1
2024-06-28,6.67,7.8775,7.99,1
2024-07-01,6.51,7.2723,8.29,1
2024-07-02,6.44,7.761,8.74,1
2024-07-03,6.4,6.8829,8.94,1
2024-07-05,6.4,7.5108,8.91,1
2024-07-08,6.8,7.0405,8.86,1
2024-07-09,6.8,7.4658,8.64,1
2024-07-10,6.9,7.3055,8.6,1
2024-07-11,6.99,7.1946,8.84,1
2024-07-12,6.87,7.3723,8.5,1
2024-07-15,6.51,7.1198,8.49,1
2024-07-16,6.67,7.6362,8.41,1
2024-07-17,6.89,7.3419,8.36,1
2024-07-18,6.65,7.0769,8.31,1
2024-07-19,6.7,7.5452,9.06,1
2024-07-22,6.69,7.6907,9.39,1
2024-07-23,6.56,7.3448,9.5,1
2024-07-24,6.52,7.0222,9.48,1
2024-07-25,6.77,7.9312,9.36,1
2024-07-26,6.89,7.099,9.14,1
2024-07-29,6.92,7.2173,8.97,1
2024-07-30,6.98,7.2053,8.56,1
2024-07-31,6.97,7.4474,8.58,1
2024-08-01,6.8,7.0892,8.63,1
2024-08-02,6.5,7.2176,8.73,1
2024-08-05,6.37,6.509,8.72,1
2024-08-06,6.47,7.1801,8.67,1
2024-08-07,6.47,6.9438,8.55,1
2024-08-08,7.71,7.0366,8.52,0
2024-08-09,7.9,7.3423,8.64,0
2024-08-12,7.83,6.5679,8.86,0
2024-08-13,8.09,7.3262,8.75,0
2024-08-14,7.95,7.6308,11.13,0
2024-08-15,8.13,6.8434,9.68,0
2024-08-16,8.0,6.9101,9.58,0
2024-08-19,8.31,7.0047,9.57,0
2024-08-20,8.39,7.4554,9.8,0
2024-08-21,8.4,7.305,9.85,0
2024-08-22,8.3,7.4052,9.94,0
2024-08-23,8.58,6.9924,9.8,0
2024-08-26,8.42,7.1869,9.39,0
2024-08-27,8.37,7.3592,9.12,0
2024-08-28,7.78,7.1593,9.24,0
2024-08-29,7.74,7.0733,9.52,0
2024-08-30,7.69,7.4823,9.8,0
2024-09-03,8.2,6.706,9.69,0
2024-09-04,8.23,8.4304,9.7,1
2024-09-05,7.86,6.4734,9.71,0
2024-09-06,7.79,7.2417,10.16,0
2024-09-09,7.46,7.7107,10.18,1
2024-09-10,6.81,7.1749,10.17,1
2024-09-11,6.79,7.6498,10.03,1
2024-09-12,7.31,6.9603,10.12,0
2024-09-13,7.65,7.6561,10.18,1
2024-09-16,7.92,7.5409,10.09,0
2024-09-17,7.79,7.7233,10.3,0
2024-09-18,7.69,7.2509,9.59,0
2024-09-19,7.93,7.0285,8.81,0
2024-09-20,7.99,7.387,8.32,0
2024-09-23,7.76,7.656,8.65,0
2024-09-24,7.99,6.8182,8.47,0
2024-09-25,8.29,7.7725,8.42,0
2024-09-26,8.74,6.7109,8.62,1
2024-09-27,8.94,6.6344,8.43,1
2024-09-30,8.91,6.7365,8.42,1
2024-10-01,8.86,6.7641,8.45,1
2024-10-02,8.64,7.4327,8.38,1
2024-10-03,8.6,7.8162,8.21,1
2024-10-04,8.84,6.6254,8.28,1
2024-10-07,8.5,7.9749,8.1,1
2024-10-08,8.49,7.368,8.36,1
2024-10-09,8.41,7.725,8.47,0
2024-10-10,8.36,7.2826,8.39,0
2024-10-11,8.31,7.2484,8.09,1
2024-10-14,9.06,6.5812,8.21,1
2024-10-15,9.39,6.5083,8.3,1
