date,entry_close,pred_close,actual_close,correct
2024-06-10,53.03,43.8646,45.12,1
2024-06-11,52.05,43.9096,46.01,1
2024-06-12,52.93,44.1513,48.75,1
2024-06-13,52.07,45.0645,48.42,1
2024-06-14,49.69,42.2816,48.47,1
2024-06-17,50.36,46.5506,49.65,1
2024-06-18,49.58,46.147,50.22,0
2024-06-20,48.9,44.9398,51.34,0
2024-06-21,48.18,47.691,52.64,0
2024-06-24,49.18,44.9946,52.96,0
2024-06-25,48.52,46.1178,52.59,0
2024-06-26,48.07,47.5464,52.17,0
2024-06-27,48.2,44.4643,52.36,0
2024-06-28,48.66,44.4121,53.63,0
2024-07-01,48.33,45.976,54.11,0
2024-07-02,48.2,45.7507,58.85,0
2024-07-03,48.51,45.966,57.99,0
2024-07-05,47.0,45.8098,57.06,0
2024-07-08,46.82,42.1482,56.13,0
2024-07-09,47.2,38.2247,55.74,0
2024-07-10,47.15,46.1821,55.62,0
2024-07-11,45.64,45.5707,59.22,0
2024-07-12,44.72,47.4428,59.18,1
2024-07-15,44.32,38.6373,60.01,0
2024-07-16,47.07,46.3843,59.43,0
2024-07-17,46.94,47.7989,60.26,1
2024-07-18,46.39,46.2294,61.8,0
2024-07-19,47.93,45.9391,63.53,0
2024-07-22,48.19,45.3435,64.05,0
2024-07-23,48.22,42.8338,72.02,0
2024-07-24,46.02,46.0228,73.33,1
2024-07-25,46.72,42.483,74.15,0
2024-07-26,47.37,46.5863,74.0,0
2024-07-29,46.76,45.4402,74.49,0
2024-07-30,46.61,46.4687,73.45,0
2024-07-31,45.42,44.4892,74.51,0
2024-08-01,42.38,41.734,74.64,0
2024-08-02,40.19,40.7887,76.09,1
2024-08-05,37.88,42.2074,76.93,1
2024-08-06,38.8,45.7859,80.42,1
2024-08-07,38.76,41.2033,78.26,1
2024-08-08,41.18,39.2254,80.46,0
2024-08-09,41.46,43.6894,77.25,1
2024-08-12,40.42,42.4198,80.03,1
2024-08-13,40.92,37.5078,87.58,0
2024-08-14,40.24,44.9846,85.43,1
2024-08-15,42.66,41.6825,87.51,0
2024-08-16,42.07,41.3925,89.43,0
2024-08-19,42.35,41.0495,89.13,0
2024-08-20,41.76,43.6299,89.78,1
2024-08-21,41.99,38.5757,91.16,0
2024-08-22,41.44,41.9982,91.17,1
2024-08-23,43.32,48.4399,90.38,1
2024-08-26,42.78,49.3546,94.26,1
2024-08-27,42.14,45.8621,94.63,1
2024-08-28,41.33,43.5304,94.4,1
2024-08-29,42.64,42.9563,95.24,1
2024-08-30,44.04,47.4525,96.83,1
2024-09-03,43.87,45.2308,96.51,1
2024-09-04,44.17,43.7145,96.35,0
2024-09-05,45.12,45.1444,96.83,1
2024-09-06,46.01,41.4977,97.44,0
2024-09-09,48.75,41.7024,95.79,0
2024-09-10,48.42,42.8146,99.25,0
2024-09-11,48.47,43.9643,102.44,0
2024-09-12,49.65,44.7019,100.28,0
2024-09-13,50.22,46.7422,96.02,0
2024-09-16,51.34,44.8968,96.53,0
2024-09-17,52.64,50.5796,98.96,0
2024-09-18,52.96,43.2304,95.97,0
2024-09-19,52.59,48.1156,95.11,0
2024-09-20,52.17,45.4426,95.48,0
2024-09-23,52.36,40.6189,94.99,0
