date,entry_close,pred_close,actual_close,correct
2024-06-10,220.0049,223.5345,242.9886,1
2024-06-11,218.5251,232.2981,241.1532,1
2024-06-12,217.6218,233.6842,242.5829,1
2024-06-13,213.4417,223.8036,244.003,1
2024-06-14,213.4225,227.7774,239.0955,1
2024-06-17,212.7307,221.3289,240.4383,1
2024-06-18,213.8838,225.2629,240.6605,1
2024-06-20,216.3726,233.6745,243.8581,1
2024-06-21,217.2758,206.4291,244.94,0
2024-06-24,217.5161,228.4977,242.6699,1
2024-06-25,215.3059,236.9511,240.0036,1
2024-06-26,214.8735,227.9792,237.0571,1
2024-06-27,214.739,213.3234,235.7143,0
2024-06-28,217.42,226.1753,240.5059,1
2024-07-01,216.0747,222.0633,237.1634,1
2024-07-02,216.6897,227.1471,234.9705,1
2024-07-03,216.757,224.9207,235.9269,1
2024-07-05,216.3726,223.0727,238.1101,1
2024-07-08,214.6621,198.8125,237.2117,0
2024-07-09,213.115,234.7888,235.0864,1
2024-07-10,215.6423,220.6113,232.4588,1
2024-07-11,219.7839,218.8615,230.7489,0
2024-07-12,221.2253,224.2583,228.8265,1
2024-07-15,226.7699,224.1091,229.493,0
2024-07-16,233.5636,229.2049,229.6089,1
2024-07-17,234.3612,221.8657,230.7102,1
2024-07-18,233.5156,217.1719,234.0817,0
2024-07-19,232.8525,222.5581,236.9412,0
2024-07-22,233.7654,214.8311,237.4435,0
2024-07-23,230.1427,220.3189,239.6751,0
2024-07-24,228.1056,227.05,233.5118,0
2024-07-25,226.1549,228.9481,235.8109,1
2024-07-26,230.9691,223.4802,232.1883,0
2024-07-29,232.6892,218.1946,233.2509,0
2024-07-30,235.841,218.9292,233.1543,1
2024-07-31,237.0902,223.7093,222.9143,1
2024-08-01,234.9185,213.8973,222.4796,1
2024-08-02,230.5943,207.917,224.1025,1
2024-08-05,225.6936,214.2894,224.1122,1
2024-08-06,229.2298,215.3326,224.2861,1
2024-08-07,227.5866,219.9837,224.1895,1
2024-08-08,231.1421,218.8612,224.7884,1
2024-08-09,228.2401,227.7574,222.1028,1
2024-08-12,227.5001,217.4384,225.9283,1
2024-08-13,227.9998,223.6873,240.0519,0
2024-08-14,231.7955,228.7893,234.3232,0
2024-08-15,234.1882,221.0072,233.2896,1
2024-08-16,234.9762,224.4136,233.7339,1
2024-08-19,236.456,222.0138,230.7972,1
2024-08-20,236.8692,224.0478,232.2462,1
2024-08-21,236.1293,225.4698,227.5803,1
2024-08-22,234.7744,221.0166,227.5706,1
