date,entry_close,pred_close,actual_close,correct
2024-06-10,23.82,29.7884,35.72,1
2024-06-11,24.32,34.6013,34.4,1
2024-06-12,24.98,26.0591,35.19,1
2024-06-13,23.07,29.4289,33.66,1
2024-06-14,22.39,25.0493,35.14,1
2024-06-17,22.39,29.8607,36.09,1
2024-06-18,22.22,24.7953,38.03,1
2024-06-20,21.88,26.2441,35.12,1
2024-06-21,21.64,27.1075,37.69,1
2024-06-24,23.22,27.8467,38.31,1
2024-06-25,22.56,27.2188,40.0,1
2024-06-26,23.0,27.5362,39.74,1
2024-06-27,23.61,27.1344,38.53,1
2024-06-28,23.59,25.2374,37.64,1
2024-07-01,22.9,28.4516,39.55,1
2024-07-02,22.97,30.8102,40.89,1
2024-07-03,23.07,32.0913,40.85,1
2024-07-05,23.2,23.2078,40.01,1
2024-07-08,23.22,24.0477,37.78,1
2024-07-09,24.24,25.3932,38.94,1
2024-07-10,24.82,26.2904,38.94,1
2024-07-11,26.92,21.8159,41.3,0
2024-07-12,27.11,25.1761,41.02,0
2024-07-15,29.96,26.7576,42.89,0
2024-07-16,31.96,23.2071,43.03,0
2024-07-17,30.91,20.2621,43.18,0
2024-07-18,28.41,29.5727,47.02,1
2024-07-19,27.79,24.62,54.07,0
2024-07-22,27.65,26.553,52.91,0
2024-07-23,27.63,25.4118,54.38,0
2024-07-24,25.02,28.6408,52.05,1
2024-07-25,25.76,27.1438,53.13,1
2024-07-26,26.11,24.7823,52.54,0
2024-07-29,26.05,27.1014,51.96,1
2024-07-30,26.03,23.7694,49.75,0
2024-07-31,27.93,28.2816,51.09,1
2024-08-01,25.4,23.279,50.58,0
2024-08-02,23.76,21.7929,51.98,0
2024-08-05,23.815,25.337,50.42,1
2024-08-06,23.87,28.0254,51.13,1
2024-08-07,33.3,22.5691,48.68,0
2024-08-08,34.21,18.7438,48.48,0
2024-08-09,36.25,23.6592,47.24,0
2024-08-12,34.18,24.7193,50.6,0
2024-08-13,37.83,24.2194,53.98,0
2024-08-14,36.08,26.8245,55.47,0
2024-08-15,36.59,27.415,81.0,0
2024-08-16,36.81,27.8131,77.48,0
2024-08-19,40.47,25.5758,69.43,0
2024-08-20,38.38,20.7913,67.8,0
2024-08-21,40.64,23.246,67.385,0
2024-08-22,39.71,26.5247,68.36,0
2024-08-23,42.0,23.4045,68.27,0
2024-08-26,43.15,26.2636,71.11,0
2024-08-27,44.11,24.3387,70.4,0
