date,entry_close,pred_close,actual_close,correct
2024-06-10,483.28,390.1138,468.57,1
2024-06-11,481.53,383.9281,468.0,1
2024-06-12,475.79,351.9374,471.11,1
2024-06-13,479.03,381.1325,470.78,1
2024-06-14,480.73,385.3245,474.74,1
2024-06-17,473.69,415.2769,478.65,0
2024-06-18,467.28,422.5996,485.37,0
2024-06-20,471.38,416.9366,489.43,0
2024-06-21,468.71,385.8058,481.26,0
2024-06-24,474.95,387.7834,474.16,1
2024-06-25,473.82,425.353,477.9,0
2024-06-26,474.0,435.0714,464.92,1
2024-06-27,472.51,399.2152,460.0,1
2024-06-28,468.72,413.2678,462.99,1
2024-07-01,471.25,406.808,461.76,1
2024-07-02,473.78,384.0437,463.15,1
2024-07-03,470.28,395.9039,462.88,1
2024-07-05,474.57,385.2668,465.08,1
2024-07-08,481.89,380.8177,469.76,1
2024-07-09,485.99,392.9794,462.14,1
2024-07-10,491.62,385.7968,453.55,1
2024-07-11,492.13,376.7188,455.31,1
2024-07-12,488.74,424.4191,448.6,1
2024-07-15,490.85,414.0341,458.94,1
2024-07-16,488.98,386.7101,467.97,1
2024-07-17,488.37,409.0889,476.15,1
2024-07-18,488.12,437.8226,481.71,1
2024-07-19,491.57,408.7196,484.82,1
2024-07-22,495.91,397.9271,484.3,1
2024-07-23,490.32,428.1899,487.25,1
2024-07-24,490.8,425.7936,498.73,0
2024-07-25,492.26,406.7815,483.0,1
2024-07-26,495.26,402.4126,478.09,1
2024-07-29,498.15,422.4046,474.91,1
2024-07-30,502.6,393.8807,470.05,1
2024-07-31,495.72,425.0835,471.91,1
2024-08-01,505.78,428.1644,477.7,1
2024-08-02,494.46,390.5569,476.37,1
2024-08-05,476.91,413.416,470.36,1
2024-08-06,474.29,421.3497,475.08,0
2024-08-07,465.89,428.2766,475.98,0
2024-08-08,465.96,439.8962,471.12,0
2024-08-09,468.45,408.0003,472.8,0
2024-08-12,464.51,408.4446,499.88,0
2024-08-13,467.59,423.64,493.64,0
2024-08-14,471.44,431.9625,502.45,0
2024-08-15,472.0,421.3195,516.74,0
2024-08-16,477.37,450.2107,501.72,0
2024-08-19,488.05,448.1278,490.0,0
2024-08-20,487.37,424.8554,494.61,0
2024-08-21,486.11,441.0732,483.96,1
2024-08-22,479.89,441.5509,465.7,1
2024-08-23,481.24,438.1795,467.01,1
2024-08-26,482.64,461.6859,448.01,1
2024-08-27,480.3,429.7286,451.23,1
2024-08-28,489.73,464.824,450.37,1
2024-08-29,493.35,447.4172,450.97,1
2024-08-30,495.89,421.8355,461.71,1
2024-09-03,475.7,426.1513,467.07,1
2024-09-04,478.57,443.0188,464.56,1
2024-09-05,468.57,438.2662,468.13,1
2024-09-06,468.0,395.5605,465.73,1
2024-09-09,471.11,455.0259,456.97,1
2024-09-10,470.78,447.5987,463.98,1
2024-09-11,474.74,471.4026,459.92,1
2024-09-12,478.65,458.2578,462.1,1
2024-09-13,485.37,434.1674,473.98,1
2024-09-16,489.43,457.7568,469.22,1
2024-09-17,481.26,437.2312,468.29,1
2024-09-18,474.16,463.6718,464.12,1
2024-09-19,477.9,455.4702,463.73,1
2024-09-20,464.92,468.5792,468.09,1
2024-09-23,460.0,442.6474,469.24,0
2024-09-24,462.99,452.5829,447.5,1
2024-09-25,461.76,466.4261,396.64,0
2024-09-26,463.15,454.065,397.27,1
2024-09-27,462.88,463.2965,405.27,0
2024-09-30,465.08,467.6394,408.18,0
2024-10-01,469.76,457.2074,410.65,1
2024-10-02,462.14,460.2695,408.76,1
2024-10-03,453.55,454.409,399.35,0
2024-10-04,455.31,474.2468,402.7,0
2024-10-07,448.6,464.8237,405.76,0
2024-10-08,458.94,455.0332,407.11,1
2024-10-09,467.97,461.0964,402.49,1
2024-10-10,476.15,455.9913,408.32,1
2024-10-11,481.71,450.0314,412.11,1
2024-10-14,484.82,463.4141,409.56,1
2024-10-15,484.3,462.3255,413.37,1
2024-10-16,487.25,467.6505,411.66,1
2024-10-17,498.73,483.7482,424.26,1
2024-10-18,483.0,473.2317,416.96,1
2024-10-21,478.09,467.2376,422.0,1
2024-10-22,474.91,462.4854,427.89,1
2024-10-23,470.05,482.7007,428.0,0
2024-10-24,471.91,458.1852,439.73,1
2024-10-25,477.7,474.7845,439.62,1
2024-10-28,476.37,448.4469,443.88,1
2024-10-29,470.36,451.3116,440.68,1
2024-10-30,475.08,466.9977,441.52,1
2024-10-31,475.98,463.7254,438.4,1
2024-11-01,471.12,458.4884,461.68,1
2024-11-04,472.8,439.8363,470.37,1
2024-11-05,499.88,453.7589,482.28,1
2024-11-06,493.64,454.0982,488.44,1
2024-11-07,502.45,466.3103,481.16,1
2024-11-08,516.74,461.1288,469.32,1
2024-11-11,501.72,454.1819,469.97,1
2024-11-12,490.0,449.7856,455.22,1
2024-11-13,494.61,442.0732,453.2,1
2024-11-14,483.96,471.7611,462.58,1
2024-11-15,465.7,469.7151,459.0,0
2024-11-18,467.01,463.5397,462.11,1
2024-11-19,448.01,475.0698,471.76,1
2024-11-20,451.23,465.7542,480.33,1
2024-11-21,450.37,465.105,484.24,1
2024-11-22,450.97,469.5519,481.65,1
2024-11-25,461.71,467.4454,480.35,1
2024-11-26,467.07,471.6468,479.1,1
2024-11-27,464.56,478.0699,474.5,1
2024-11-29,468.13,457.2844,479.79,0
2024-12-02,465.73,448.5698,483.31,0
2024-12-03,456.97,436.3097,486.22,0
2024-12-04,463.98,470.3169,491.64,1
2024-12-05,459.92,478.1579,485.72,1
2024-12-06,462.1,485.6862,488.29,1
2024-12-09,473.98,455.7025,500.01,0
2024-12-10,469.22,471.2576,488.34,1
2024-12-11,468.29,464.1861,495.42,0
2024-12-12,464.12,484.5369,502.92,1
2024-12-13,463.73,459.1573,504.77,0
2024-12-16,468.09,456.1177,513.76,0
2024-12-17,469.24,460.451,512.23,0
2024-12-18,447.5,455.6662,512.52,1
2024-12-19,396.64,480.2792,510.18,1
2024-12-20,397.27,475.7709,503.2,1
2024-12-23,405.27,469.2984,511.74,1
2024-12-24,408.18,453.6473,509.04,1
2024-12-26,410.65,445.8931,500.28,1
2024-12-27,408.76,474.1247,502.55,1
2024-12-30,399.35,442.0682,492.69,1
2024-12-31,402.7,447.021,484.82,1
2025-01-02,405.76,473.4748,484.74,1
2025-01-03,407.11,463.4129,483.49,1
2025-01-06,402.49,468.5677,484.01,1
2025-01-07,408.32,456.4031,474.62,1
2025-01-08,412.11,466.4015,474.56,1
2025-01-10,409.56,476.4168,472.37,1
2025-01-13,413.37,462.6712,482.3,1
2025-01-14,411.66,485.8098,475.49,1
2025-01-15,424.26,463.8312,484.22,1
2025-01-16,416.96,480.7495,495.83,1
2025-01-17,422.0,461.495,500.49,1
2025-01-21,427.89,453.4931,485.89,1
2025-01-22,428.0,423.4628,489.1,0
2025-01-23,439.73,461.2247,477.52,1
2025-01-24,439.62,472.0649,490.47,1
2025-01-27,443.88,457.5181,492.42,1
2025-01-28,440.68,483.2533,492.47,1
2025-01-29,441.52,451.2446,493.84,1
2025-01-30,438.4,433.315,496.49,0
2025-01-31,461.68,452.2188,503.5,0
2025-02-03,470.37,440.8834,509.5,0
2025-02-04,482.28,453.9517,498.86,0
2025-02-05,488.44,453.1267,501.15,0
2025-02-06,481.16,452.2575,500.19,0
2025-02-07,469.32,457.2938,450.03,1
2025-02-10,469.97,439.2656,434.82,1
2025-02-11,455.22,467.0469,429.6,0
2025-02-12,453.2,485.6926,424.99,0
2025-02-13,462.58,471.7462,439.37,0
2025-02-14,459.0,470.0702,432.0,0
2025-02-18,462.11,458.0884,421.16,1
2025-02-19,471.76,464.1557,434.38,1
2025-02-20,480.33,439.4839,438.65,1
2025-02-21,484.24,445.7975,440.66,1
2025-02-24,481.65,452.897,447.18,1
2025-02-25,480.35,477.9671,435.32,1
2025-02-26,479.1,471.1475,434.03,1
2025-02-27,474.5,474.2665,436.0,1
2025-02-28,479.79,460.308,446.0,1
2025-03-03,483.31,481.5949,445.1,1
2025-03-04,486.22,468.6227,447.09,1
2025-03-05,491.64,444.7903,442.05,1
2025-03-06,485.72,470.0859,445.43,1
2025-03-07,488.29,471.1862,446.48,1
2025-03-10,500.01,481.7314,445.85,1
