date,entry_close,pred_close,actual_close,correct
2024-06-10,8.12,8.8915,7.42,0
2024-06-11,8.04,9.2063,7.22,0
2024-06-12,7.81,10.6746,7.3,0
2024-06-13,7.29,9.0371,7.02,0
2024-06-14,7.24,9.356,6.94,0
2024-06-17,7.16,8.5941,7.66,1
2024-06-18,6.99,8.3999,8.49,1
2024-06-20,7.04,9.8667,8.56,1
2024-06-21,7.18,9.6119,8.45,1
2024-06-24,7.31,10.2885,8.42,1
2024-06-25,7.24,8.5964,8.4,1
2024-06-26,7.25,8.6833,8.24,1
2024-06-27,7.35,8.3433,8.16,1
2024-06-28,7.44,9.765,8.32,1
2024-07-01,7.1,8.894,8.19,1
2024-07-02,7.2,9.2938,8.3,1
2024-07-03,7.23,9.6058,8.38,1
2024-07-05,7.21,8.4272,8.25,1
2024-07-08,7.11,8.4168,8.16,1
2024-07-09,7.34,9.8304,7.97,1
2024-07-10,7.32,8.732,7.74,1
2024-07-11,7.38,8.52,7.78,1
2024-07-12,7.4,9.2271,7.72,1
2024-07-15,7.42,9.6493,7.72,1
2024-07-16,7.98,8.747,7.73,0
2024-07-17,8.32,9.1339,7.54,0
2024-07-18,8.52,9.5033,7.52,0
2024-07-19,8.67,9.1133,7.54,0
2024-07-22,8.55,8.8902,7.6,0
2024-07-23,8.62,10.1139,8.0,0
2024-07-24,8.47,8.3509,7.78,1
2024-07-25,7.99,9.0109,7.82,0
2024-07-26,8.31,8.6822,7.55,0
2024-07-29,8.42,7.9921,7.53,1
2024-07-30,8.78,9.0516,7.33,0
2024-07-31,8.65,9.3774,7.52,0
2024-08-01,8.38,8.7501,7.6,0
2024-08-02,8.27,8.1426,7.61,1
2024-08-05,7.88,8.9757,7.55,0
2024-08-06,7.57,9.7077,7.77,1
2024-08-07,7.71,9.2439,8.13,1
2024-08-08,7.02,9.8596,8.23,1
2024-08-09,7.03,8.811,8.17,1
2024-08-12,6.71,8.3253,8.21,1
2024-08-13,7.06,8.0288,8.38,1
2024-08-14,6.96,8.122,9.37,1
2024-08-15,7.24,8.6733,9.18,1
2024-08-16,7.41,9.1641,9.33,1
2024-08-19,7.63,8.1832,9.22,1
2024-08-20,7.77,8.3784,9.72,1
2024-08-21,7.68,8.4758,9.86,1
2024-08-22,7.5,8.0576,9.22,1
2024-08-23,8.05,10.4382,9.47,1
2024-08-26,8.23,8.5606,9.5,1
2024-08-27,8.11,9.8048,9.95,1
2024-08-28,7.97,8.9995,10.23,1
2024-08-29,7.73,9.1579,10.11,1
2024-08-30,7.84,8.439,10.4,1
2024-09-03,7.36,8.6471,10.11,1
2024-09-04,7.32,8.6866,10.38,1
2024-09-05,7.42,8.5167,10.48,1
2024-09-06,7.22,8.0612,10.56,1
2024-09-09,7.3,8.3989,10.55,1
2024-09-10,7.02,8.5266,10.65,1
2024-09-11,6.94,8.8402,10.68,1
2024-09-12,7.66,8.539,10.66,1
2024-09-13,8.49,7.4687,10.56,0
2024-09-16,8.56,7.6793,10.89,0
2024-09-17,8.45,7.4482,10.82,0
2024-09-18,8.42,7.7823,12.49,0
2024-09-19,8.4,8.0245,12.07,0
2024-09-20,8.24,8.4302,11.6,1
