date,entry_close,pred_close,actual_close,correct
2024-06-10,168.83,116.3719,159.58,1
2024-06-11,168.49,108.1563,156.08,1
2024-06-12,168.73,114.5139,156.4,1
2024-06-13,165.29,110.783,153.66,1
2024-06-14,163.61,120.9516,152.8,1
2024-06-17,161.33,109.4727,153.72,1
2024-06-18,159.98,125.5642,156.74,1
2024-06-20,157.89,115.9298,156.59,1
2024-06-21,158.32,130.283,160.15,0
2024-06-24,158.05,109.3778,159.54,0
2024-06-25,157.1,107.8859,161.1,0
2024-06-26,157.37,118.0686,160.64,0
2024-06-27,159.19,121.705,163.87,0
2024-06-28,159.07,129.849,164.29,0
2024-07-01,157.32,117.9738,169.74,0
2024-07-02,157.73,126.1511,171.74,0
2024-07-03,156.1,140.1397,168.3,0
2024-07-05,154.21,110.9414,167.17,0
2024-07-08,155.53,129.524,157.49,0
2024-07-09,156.79,127.1026,160.09,0
2024-07-10,163.01,98.6534,156.75,1
2024-07-11,163.72,120.2144,159.73,1
2024-07-12,166.05,116.954,158.08,1
2024-07-15,165.63,123.1352,158.11,1
2024-07-16,167.55,131.2431,161.18,1
2024-07-17,161.73,144.6516,167.1,0
2024-07-18,162.68,122.3394,167.59,0
2024-07-19,163.3,123.4196,162.76,1
2024-07-22,166.12,127.2546,166.63,0
2024-07-23,168.74,121.1411,171.775,0
2024-07-24,161.47,135.8189,177.24,0
2024-07-25,155.43,122.4177,173.39,0
2024-07-26,155.81,118.8658,172.47,0
2024-07-29,156.0,145.3082,166.93,0
2024-07-30,155.08,116.8887,164.115,0
2024-07-31,155.925,131.8647,162.46,0
2024-08-01,147.93,136.5955,164.27,0
2024-08-02,148.02,120.1256,164.5,0
2024-08-05,149.86,134.9777,169.585,0
2024-08-06,157.06,107.4808,167.88,0
2024-08-07,156.35,121.6278,167.12,0
2024-08-08,163.72,145.3922,163.94,0
2024-08-09,162.45,134.2021,163.41,0
2024-08-12,159.16,137.7665,165.8,0
2024-08-13,158.95,132.49,166.88,0
2024-08-14,159.05,129.143,172.04,0
2024-08-15,163.05,120.0303,172.5,0
2024-08-16,163.64,131.1517,183.64,0
2024-08-19,171.13,125.2254,188.94,0
2024-08-20,170.03,119.7121,184.34,0
2024-08-21,169.3,118.6515,184.01,0
2024-08-22,165.11,144.4174,180.01,0
2024-08-23,167.97,120.5342,180.33,0
2024-08-26,165.95,126.5577,183.95,0
2024-08-27,166.86,137.6644,210.27,0
2024-08-28,163.99,144.0022,219.19,0
2024-08-29,163.32,139.2502,217.2,0
2024-08-30,166.62,129.0588,223.41,0
2024-09-03,157.43,147.8134,222.44,0
2024-09-04,158.13,152.7554,218.91,0
2024-09-05,159.58,150.264,223.74,0
2024-09-06,156.08,144.8097,220.51,0
2024-09-09,156.4,147.7572,219.72,0
2024-09-10,153.66,138.2956,229.35,0
2024-09-11,152.8,152.8802,221.22,1
2024-09-12,153.72,143.0126,219.68,0
2024-09-13,156.74,144.1025,214.74,0
2024-09-16,156.59,131.1492,211.43,0
2024-09-17,160.15,153.0717,216.99,0
2024-09-18,159.54,135.9233,224.5,0
2024-09-19,161.1,147.9161,219.61,0
2024-09-20,160.64,148.4909,216.71,0
2024-09-23,163.87,146.9082,218.98,0
2024-09-24,164.29,123.7664,215.14,0
2024-09-25,169.74,153.7195,217.43,0
2024-09-26,171.74,132.5658,221.37,0
2024-09-27,168.3,142.0207,221.0,0
2024-09-30,167.17,142.6502,226.22,0
2024-10-01,157.49,157.6793,223.9,1
2024-10-02,160.09,151.0539,218.3,0
2024-10-03,156.75,136.8931,217.39,0
2024-10-04,159.73,147.5125,214.55,0
2024-10-07,158.08,129.6527,216.53,0
2024-10-08,158.11,150.045,222.75,0
2024-10-09,161.18,117.6324,226.95,0
2024-10-10,167.1,144.0852,220.71,0
2024-10-11,167.59,144.9902,224.49,0
2024-10-14,162.76,143.5378,218.62,0
2024-10-15,166.63,127.9034,224.58,0
2024-10-16,171.775,149.9951,236.36,0
2024-10-17,177.24,141.1002,241.84,0
2024-10-18,173.39,159.8915,241.72,0
2024-10-21,172.47,156.2448,240.89,0
2024-10-22,166.93,148.4468,238.17,0
2024-10-23,164.115,143.2248,235.0,0
2024-10-24,162.46,151.6217,236.56,0
2024-10-25,164.27,139.36,235.01,0
2024-10-28,164.5,151.3633,234.42,0
2024-10-29,169.585,152.2186,246.76,0
2024-10-30,167.88,147.847,242.14,0
2024-10-31,167.12,152.7688,242.39,0
2024-11-01,163.94,161.0613,238.89,0
2024-11-04,163.41,134.915,230.49,0
2024-11-05,165.8,147.6954,227.42,0
2024-11-06,166.88,145.1967,224.85,0
2024-11-07,172.04,150.421,222.78,0
2024-11-08,172.5,124.1806,220.31,0
2024-11-11,183.64,159.4473,224.17,0
2024-11-12,188.94,157.4823,227.41,0
2024-11-13,184.34,151.4541,230.78,0
2024-11-14,184.01,146.6781,226.18,0
2024-11-15,180.01,153.9497,223.7,0
2024-11-18,180.33,134.9321,227.78,0
2024-11-19,183.95,150.8984,217.0,0
2024-11-20,210.27,150.3592,203.65,1
2024-11-21,219.19,171.4222,198.11,1
2024-11-22,217.2,160.3104,202.315,1
2024-11-25,223.41,153.9649,199.21,1
2024-11-26,222.44,166.4453,199.16,1
2024-11-27,218.91,157.0085,202.02,1
2024-11-29,223.74,157.864,200.69,1
2024-12-02,220.51,160.06,189.37,1
2024-12-03,219.72,155.2366,188.29,1
2024-12-04,229.35,160.7318,197.53,1
2024-12-05,221.22,135.3838,187.0,1
2024-12-06,219.68,148.6662,186.56,1
2024-12-09,214.74,150.5662,170.4,1
2024-12-10,211.43,160.3396,175.87,1
2024-12-11,216.99,142.7377,175.0,1
2024-12-12,224.5,148.7906,172.83,1
2024-12-13,219.61,154.1747,172.59,1
2024-12-16,216.71,137.8595,174.99,1
2024-12-17,218.98,148.5789,168.11,1
2024-12-18,215.14,144.7394,172.41,1
2024-12-19,217.43,147.0742,169.13,1
2024-12-20,221.37,147.6294,172.33,1
2024-12-23,221.0,145.1808,172.75,1
2024-12-24,226.22,133.2791,173.31,1
2024-12-26,223.9,137.1476,168.63,1
2024-12-27,218.3,147.5361,173.88,1
2024-12-30,217.39,158.1655,166.36,1
2024-12-31,214.55,145.1663,163.38,1
2025-01-02,216.53,161.7679,164.0,1
2025-01-03,222.75,154.2997,165.87,1
2025-01-06,226.95,129.547,155.94,1
2025-01-07,220.71,148.4382,150.01,1
2025-01-08,224.49,147.4892,147.36,1
2025-01-10,218.62,153.4275,149.6,1
2025-01-13,224.58,161.4367,164.97,1
2025-01-14,236.36,164.3227,155.68,1
2025-01-15,241.84,163.2602,158.5,1
2025-01-16,241.72,160.7188,158.74,1
2025-01-17,240.89,152.5027,160.81,1
2025-01-21,238.17,164.4521,161.05,1
2025-01-22,235.0,165.9098,159.76,1
2025-01-23,236.56,173.6997,146.5,1
2025-01-24,235.01,150.0705,154.61,1
2025-01-27,234.42,163.7547,158.86,1
2025-01-28,246.76,170.0128,165.23,1
2025-01-29,242.14,161.8698,166.435,1
2025-01-30,242.39,161.7021,164.78,1
2025-01-31,238.89,180.9012,169.98,1
2025-02-03,230.49,172.4088,169.59,1
2025-02-04,227.42,161.8969,167.93,1
2025-02-05,224.85,162.4122,166.83,1
2025-02-06,222.78,163.6553,166.43,1
2025-02-07,220.31,174.4726,164.13,1
2025-02-10,224.17,184.3442,166.45,1
2025-02-11,227.41,185.6394,172.27,1
2025-02-12,230.78,190.4904,171.53,1
2025-02-13,226.18,165.8929,179.71,1
2025-02-14,223.7,171.1826,184.89,1
2025-02-18,227.78,205.2373,189.61,1
2025-02-19,217.0,177.1667,182.91,1
2025-02-20,203.65,196.9554,182.75,1
2025-02-21,198.11,180.5168,180.22,1
2025-02-24,202.315,183.8233,181.74,1
2025-02-25,199.21,192.7794,152.34,1
2025-02-26,199.16,191.4566,154.99,1
2025-02-27,202.02,189.9706,151.26,1
2025-02-28,200.69,187.4776,152.16,1
2025-03-03,189.37,184.3334,152.3,1
2025-03-04,188.29,193.5955,150.93,0
2025-03-05,197.53,180.2048,148.95,1
2025-03-06,187.0,197.8415,148.96,0
2025-03-07,186.56,200.21,151.65,0
2025-03-10,170.4,193.6032,153.25,0
2025-03-11,175.87,186.688,153.25,0
2025-03-12,175.0,192.8994,152.32,0
2025-03-13,172.83,200.2048,153.96,0
2025-03-14,172.59,195.8395,158.62,0
2025-03-17,174.99,191.8625,155.5,0
2025-03-18,168.11,191.3016,154.75,0
2025-03-19,172.41,189.6519,149.1,0
2025-03-20,169.13,166.7273,156.64,1
2025-03-21,172.33,190.3848,157.15,0
2025-03-24,172.75,194.2968,158.5,0
2025-03-25,173.31,187.2735,157.92,0
2025-03-26,168.63,182.381,158.685,0
2025-03-27,173.88,177.2644,161.21,0
2025-03-28,166.36,192.56,159.77,0
2025-03-31,163.38,174.3804,159.26,0
2025-04-01,164.0,171.616,158.01,0
2025-04-02,165.87,177.75,158.46,0
2025-04-03,155.94,180.2433,161.03,1
2025-04-04,150.01,167.2862,164.58,1
2025-04-07,147.36,182.1404,164.29,1
2025-04-08,149.6,181.4318,163.68,1
2025-04-09,164.97,176.2143,161.765,0
2025-04-10,155.68,191.8485,158.0,1
2025-04-11,158.5,177.8115,155.95,0
2025-04-14,158.74,188.5527,152.27,0
2025-04-15,160.81,198.3829,149.61,0
2025-04-16,161.05,181.0647,146.83,0
2025-04-17,159.76,176.2195,153.0,0
2025-04-21,146.5,170.1366,154.71,1
2025-04-22,154.61,181.095,155.05,1
2025-04-23,158.86,168.6625,153.96,0
2025-04-24,165.23,196.4865,154.57,0
2025-04-25,166.435,177.4884,154.57,0
2025-04-28,164.78,168.7519,152.37,0
2025-04-29,169.98,187.3152,152.49,0
2025-04-30,169.59,169.2445,150.5,1
2025-05-01,167.93,163.5807,148.45,1
2025-05-02,166.83,182.3755,139.37,0
2025-05-05,166.43,194.3347,136.03,0
2025-05-06,164.13,180.3548,128.97,0
2025-05-07,166.45,170.3342,131.44,0
2025-05-08,172.27,186.0512,128.09,0
2025-05-09,171.53,220.2652,128.49,0
2025-05-12,179.71,209.2773,133.49,0
2025-05-13,184.89,177.4706,122.85,1
2025-05-14,189.61,180.362,115.43,1
2025-05-15,182.91,189.0258,117.33,0
2025-05-16,182.75,183.9126,120.73,0
2025-05-19,180.22,172.9582,120.39,1
2025-05-20,181.74,206.3452,124.35,0
2025-05-21,152.34,201.7846,128.77,0
2025-05-22,154.99,179.5206,126.62,0
2025-05-23,151.26,195.8319,126.92,0
2025-05-27,152.16,183.9234,126.8,0
2025-05-28,152.3,205.216,131.82,0
2025-05-29,150.93,184.1106,132.37,0
2025-05-30,148.95,179.1595,131.65,0
2025-06-02,148.96,169.0494,136.38,0
2025-06-03,151.65,186.51,138.87,0
2025-06-04,153.25,189.9089,141.08,0
2025-06-05,153.25,178.8041,137.33,0
2025-06-06,152.32,207.9015,144.65,0
2025-06-09,153.96,193.994,147.15,0
2025-06-10,158.62,174.722,153.1,0
2025-06-11,155.5,157.4826,153.08,0
2025-06-12,154.75,172.4262,167.04,1
2025-06-13,149.1,189.6697,164.04,1
2025-06-16,156.64,218.7545,169.45,1
2025-06-17,157.15,186.9604,171.63,1
2025-06-18,158.5,188.7926,170.87,1
2025-06-20,157.92,189.4891,178.0,1
2025-06-23,158.685,167.448,180.99,1
2025-06-24,161.21,173.4321,183.3,1
2025-06-25,159.77,172.0434,182.115,1
2025-06-26,159.26,191.748,184.24,1
2025-06-27,158.01,175.6476,177.93,1
2025-06-30,158.46,174.3396,181.46,1
2025-07-01,161.03,184.384,173.595,1
2025-07-02,164.58,162.8646,177.42,0
2025-07-03,164.29,175.3901,180.68,1
2025-07-07,163.68,173.0756,177.63,1
2025-07-08,161.765,175.2085,153.79,0
2025-07-09,158.0,157.3841,153.66,1
2025-07-10,155.95,170.4676,151.77,0
2025-07-11,152.27,165.0008,146.15,0
2025-07-14,149.61,186.8942,138.03,0
2025-07-15,146.83,179.9511,135.08,0
2025-07-16,153.0,173.9188,138.72,0
2025-07-17,154.71,177.0647,134.15,0
2025-07-18,155.05,178.4104,136.16,0
2025-07-21,153.96,185.7316,138.03,0
2025-07-22,154.57,177.1315,135.66,0
2025-07-23,154.57,177.3345,132.44,0
2025-07-24,152.37,170.002,130.82,0
2025-07-25,152.49,174.5255,137.58,0
2025-07-28,150.5,163.0742,133.8,0
2025-07-29,148.45,165.7838,135.58,0
2025-07-30,139.37,158.4582,140.26,1
2025-07-31,136.03,165.7467,140.91,1
2025-08-01,128.97,161.6504,139.35,1
2025-08-04,131.44,166.6094,140.65,1
2025-08-05,128.09,175.8584,135.89,1
2025-08-06,128.49,190.0835,135.26,1
2025-08-07,133.49,190.2996,145.54,1
2025-08-08,122.85,185.2009,143.17,1
2025-08-11,115.43,170.8086,139.07,1
2025-08-12,117.33,181.8779,139.5,1
2025-08-13,120.73,158.9529,136.39,1
2025-08-14,120.39,195.0512,135.93,1
2025-08-15,124.35,166.1918,131.35,1
2025-08-18,128.77,176.2962,132.97,1
2025-08-19,126.62,195.3295,132.59,1
2025-08-20,126.92,180.5257,126.92,0
2025-08-21,126.8,155.3155,125.29,0
2025-08-22,131.82,162.5948,124.22,0
2025-08-25,132.37,167.3081,126.92,0
2025-08-26,131.65,180.2068,101.7,0
2025-08-27,136.38,178.622,99.47,0
2025-08-28,138.87,168.5071,95.51,0
2025-08-29,141.08,163.0425,93.31,0
2025-09-02,137.33,164.6872,94.48,0
2025-09-03,144.65,210.4289,95.77,0
2025-09-04,147.15,176.364,95.71,0
2025-09-05,153.1,175.2635,95.19,0
2025-09-08,153.08,192.2345,95.86,0
2025-09-09,167.04,177.6246,102.76,0
2025-09-10,164.04,172.4558,102.64,0
2025-09-11,169.45,198.0603,100.22,0
2025-09-12,171.63,166.7931,100.5,1
2025-09-15,170.87,176.598,105.69,0
2025-09-16,178.0,163.6883,105.15,1
2025-09-17,180.99,169.0108,102.71,1
2025-09-18,183.3,171.6125,101.87,1
2025-09-19,182.115,161.9313,97.75,1
2025-09-22,184.24,164.4006,101.95,1
2025-09-23,177.93,153.4109,104.04,1
2025-09-24,181.46,170.4657,104.19,1
2025-09-25,173.595,149.7742,104.43,1
2025-09-26,177.42,165.9852,106.45,1
2025-09-29,180.68,158.9176,104.71,1
2025-09-30,177.63,157.9342,105.43,1
2025-10-01,153.79,157.7504,105.5,0
2025-10-02,153.66,168.5055,104.98,0
2025-10-03,151.77,164.4872,103.43,0
2025-10-06,146.15,166.9539,103.89,0
2025-10-07,138.03,171.1808,100.97,0
2025-10-08,135.08,158.561,101.38,0
2025-10-09,138.72,164.2282,101.25,0
2025-10-10,134.15,151.4179,100.08,0
2025-10-13,136.16,149.218,97.44,0
2025-10-14,138.03,146.8902,95.84,0
2025-10-15,135.66,174.8011,92.04,0
2025-10-16,132.44,176.1357,90.33,0
2025-10-17,130.82,143.5076,88.02,0
2025-10-20,137.58,180.3635,83.77,0
2025-10-21,133.8,148.9723,80.16,0
2025-10-22,135.58,167.1826,76.24,0
2025-10-23,140.26,159.2653,79.74,0
2025-10-24,140.91,154.1853,84.56,0
2025-10-27,139.35,165.9492,88.48,0
2025-10-28,140.65,153.8491,89.73,0
2025-10-29,135.89,159.0743,87.96,0
2025-10-30,135.26,156.9117,93.04,0
2025-10-31,145.54,155.1727,89.97,0
2025-11-03,143.17,161.5175,86.84,0
2025-11-04,139.07,146.2886,83.1,0
2025-11-05,139.5,154.0493,77.45,0
2025-11-06,136.39,155.5601,79.28,0
2025-11-07,135.93,147.6653,75.45,0
2025-11-10,131.35,148.5453,75.42,0
2025-11-11,132.97,146.6732,76.24,0
2025-11-12,132.59,154.1626,75.35,0
2025-11-13,126.92,150.3578,72.1,0
2025-11-14,125.29,156.3834,70.95,0
2025-11-17,124.22,176.52,69.23,0
2025-11-18,126.92,163.2355,68.07,0
2025-11-19,101.7,170.7202,68.77,0
2025-11-20,99.47,147.3144,66.72,0
2025-11-21,95.51,184.7744,66.9,0
2025-11-24,93.31,207.0106,62.8,0
2025-11-25,94.48,161.6782,65.49,0
2025-11-26,95.77,170.9021,65.61,0
2025-11-28,95.71,171.4397,71.31,0
2025-12-01,95.19,151.8239,70.46,0
2025-12-02,95.86,132.9251,72.56,0
2025-12-03,102.76,173.7039,74.36,0
