date,entry_close,pred_close,actual_close,correct
2024-06-10,75.35,86.3799,73.75,0
2024-06-11,73.5,84.0898,73.09,0
2024-06-12,75.86,82.8444,73.35,0
2024-06-13,74.17,93.9079,70.92,0
2024-06-14,74.47,81.6781,70.81,0
2024-06-17,72.5,84.1457,70.92,0
2024-06-18,70.22,92.3584,74.73,1
2024-06-20,70.76,93.314,75.73,1
2024-06-21,73.07,86.2069,76.88,1
2024-06-24,72.31,92.3494,77.28,1
2024-06-25,72.23,95.3471,79.25,1
2024-06-26,73.46,94.5447,79.16,1
2024-06-27,73.49,85.9402,77.8,1
2024-06-28,72.99,84.2537,77.95,1
2024-07-01,71.49,91.0798,77.52,1
2024-07-02,71.87,89.1648,78.55,1
2024-07-03,72.6,82.2673,80.48,1
2024-07-05,72.06,93.3466,79.12,1
2024-07-08,71.34,83.1669,76.88,1
2024-07-09,70.76,102.2454,77.61,1
2024-07-10,70.26,85.1648,77.64,1
2024-07-11,73.05,89.1044,79.73,1
2024-07-12,74.33,87.2729,77.19,1
2024-07-15,74.69,79.3389,76.11,1
2024-07-16,75.19,96.4519,78.41,1
2024-07-17,74.4,89.2111,78.78,1
2024-07-18,72.7,81.1737,79.09,1
2024-07-19,72.09,89.6467,79.91,1
2024-07-22,72.45,84.9671,81.33,1
2024-07-23,72.84,88.861,82.1,1
2024-07-24,72.25,81.1071,81.85,1
2024-07-25,74.58,87.9894,81.52,1
2024-07-26,74.52,89.3761,80.77,1
2024-07-29,73.19,90.6785,79.68,1
2024-07-30,73.72,76.9608,78.67,1
2024-07-31,73.77,85.878,78.71,1
2024-08-01,72.55,81.9581,78.78,1
2024-08-02,72.19,89.1019,78.53,1
2024-08-05,71.78,82.8407,79.84,1
2024-08-06,71.36,84.8224,80.51,1
2024-08-07,72.39,80.9758,79.76,1
2024-08-08,75.31,81.1246,79.17,1
2024-08-09,74.62,85.5823,81.05,1
2024-08-12,73.01,89.2527,82.47,1
2024-08-13,76.33,88.3592,87.63,1
2024-08-14,77.54,86.4509,91.49,1
2024-08-15,79.43,81.7219,94.75,1
2024-08-16,78.2,86.9199,94.36,1
2024-08-19,79.34,89.2725,92.29,1
2024-08-20,78.58,93.0025,94.41,1
2024-08-21,78.85,79.5347,93.23,1
2024-08-22,77.45,88.0403,91.28,1
2024-08-23,79.64,84.0552,90.8,1
2024-08-26,80.45,79.4002,90.17,0
2024-08-27,79.64,80.4035,92.18,1
2024-08-28,77.68,84.8446,94.87,1
2024-08-29,79.11,84.5672,95.62,1
2024-08-30,78.17,85.6282,98.37,1
2024-09-03,74.81,83.0315,98.72,1
2024-09-04,74.97,96.2922,96.85,1
2024-09-05,73.75,83.1523,97.25,1
2024-09-06,73.09,83.3736,98.1,1
2024-09-09,73.35,78.2481,98.21,1
2024-09-10,70.92,83.2829,101.43,1
2024-09-11,70.81,82.817,100.8,1
2024-09-12,70.92,86.6386,102.86,1
2024-09-13,74.73,81.791,102.32,1
2024-09-16,75.73,76.1221,103.01,1
2024-09-17,76.88,89.4827,104.66,1
2024-09-18,77.28,82.5855,104.3,1
2024-09-19,79.25,78.2522,103.87,0
2024-09-20,79.16,81.9088,105.42,1
2024-09-23,77.8,79.3978,109.29,1
2024-09-24,77.95,82.8364,110.11,1
2024-09-25,77.52,87.1391,111.38,1
2024-09-26,78.55,85.5209,114.78,1
2024-09-27,80.48,74.5918,111.66,0
2024-09-30,79.12,82.4785,113.18,1
2024-10-01,76.88,79.8104,113.16,1
2024-10-02,77.61,83.3715,111.13,1
2024-10-03,77.64,77.5601,109.83,0
2024-10-04,79.73,73.5503,109.5,0
2024-10-07,77.19,77.5185,108.87,1
2024-10-08,76.11,76.9006,111.35,1
2024-10-09,78.41,86.0627,112.14,1
2024-10-10,78.78,74.5707,109.62,0
2024-10-11,79.09,78.9657,110.98,0
2024-10-14,79.91,80.05,105.86,1
2024-10-15,81.33,80.8203,105.87,0
2024-10-16,82.1,69.1503,110.0,0
2024-10-17,81.85,74.2705,114.09,0
2024-10-18,81.52,77.2756,113.7,0
2024-10-21,80.77,79.7526,112.03,0
2024-10-22,79.68,76.8894,114.04,0
2024-10-23,78.67,78.7443,98.91,1
2024-10-24,78.71,76.1185,100.07,0
2024-10-25,78.78,72.4515,97.0,0
2024-10-28,78.53,84.0226,97.69,1
2024-10-29,79.84,79.6336,104.51,0
2024-10-30,80.51,77.0662,100.47,0
2024-10-31,79.76,81.043,99.1,1
2024-11-01,79.17,79.575,98.22,1
2024-11-04,81.05,70.9024,97.29,0
2024-11-05,82.47,75.8138,100.55,0
2024-11-06,87.63,76.9959,103.18,0
2024-11-07,91.49,73.9917,100.14,0
2024-11-08,94.75,81.0805,98.92,0
2024-11-11,94.36,73.6039,96.85,0
2024-11-12,92.29,82.6186,94.35,0
2024-11-13,94.41,75.6174,91.12,1
2024-11-14,93.23,85.9468,91.81,1
2024-11-15,91.28,84.9443,89.08,1
2024-11-18,90.8,80.8049,89.78,1
2024-11-19,90.17,86.8127,87.09,1
2024-11-20,92.18,74.6797,86.55,1
2024-11-21,94.87,79.0748,84.43,1
2024-11-22,95.62,83.3628,84.01,1
2024-11-25,98.37,79.9972,83.49,1
2024-11-26,98.72,81.5846,89.32,1
2024-11-27,96.85,81.3823,87.44,1
2024-11-29,97.25,88.2323,87.52,1
2024-12-02,98.1,78.1738,86.16,1
2024-12-03,98.21,79.8109,87.5,1
2024-12-04,101.43,83.5187,89.31,1
2024-12-05,100.8,79.1716,86.76,1
2024-12-06,102.86,76.5483,85.87,1
2024-12-09,102.32,83.973,85.11,1
2024-12-10,103.01,83.1615,84.89,1
2024-12-11,104.66,78.792,86.73,1
2024-12-12,104.3,78.5444,85.06,1
2024-12-13,103.87,71.1034,87.54,1
