date,entry_close,pred_close,actual_close,correct
2024-06-10,196.5901,185.4051,203.1103,0
2024-06-11,196.9995,181.9334,199.5335,0
2024-06-12,195.7715,192.0802,203.1688,0
2024-06-13,196.1126,176.9473,202.9642,0
2024-06-14,198.4711,188.491,202.3696,0
2024-06-17,201.1416,188.227,202.584,0
2024-06-18,202.6133,180.6643,203.5035,0
2024-06-20,203.4709,182.0992,203.7676,0
2024-06-21,203.6854,185.8371,198.6812,1
2024-06-24,207.0478,193.464,197.4684,1
2024-06-25,206.6774,191.498,200.168,1
2024-06-26,207.272,190.4939,199.6398,1
2024-06-27,207.272,191.2001,202.5743,1
2024-06-28,207.925,189.6857,202.9851,1
2024-07-01,204.046,185.0428,203.1514,1
2024-07-02,204.1532,188.4245,200.8527,1
2024-07-03,204.8646,193.7377,201.019,1
2024-07-05,204.9914,188.0491,203.0634,1
2024-07-08,205.274,186.2381,203.3861,1
2024-07-09,204.6892,181.5317,202.7895,1
2024-07-10,205.8198,188.2295,204.5208,1
2024-07-11,206.3948,187.863,203.5426,1
2024-07-12,208.3245,182.4026,200.9212,1
2024-07-15,210.5174,198.8959,204.1197,1
2024-07-16,215.2833,194.8261,207.5922,1
2024-07-17,217.6517,187.1143,206.6238,1
2024-07-18,217.4372,190.9371,207.1814,1
2024-07-19,217.1448,190.9582,208.8344,1
2024-07-22,217.7783,185.8947,209.118,1
2024-07-23,213.1781,178.7246,208.4823,1
2024-07-24,211.8624,178.3566,208.4236,1
2024-07-25,194.8456,191.5971,208.1008,0
2024-07-26,191.9607,188.8901,207.1911,0
2024-07-29,195.4498,191.4588,206.4379,0
2024-07-30,195.9956,186.4361,207.1716,0
2024-07-31,197.516,192.8362,204.3447,0
2024-08-01,200.8395,193.1782,202.2808,0
2024-08-02,202.4866,170.4829,203.7089,0
2024-08-05,196.4245,183.6639,214.3218,0
2024-08-06,197.9838,194.0975,210.1256,0
2024-08-07,199.6505,203.1546,211.1331,1
2024-08-08,200.6738,181.8708,209.3137,0
2024-08-09,200.05,187.5065,209.5582,0
2024-08-12,197.9546,199.1312,211.1624,1
2024-08-13,198.744,194.6549,213.7056,0
2024-08-14,201.1124,196.1875,215.6227,0
2024-08-15,201.6581,185.4443,219.2223,0
2024-08-16,200.1865,190.1061,218.7333,0
2024-08-19,201.3463,197.4155,219.8679,0
2024-08-20,202.8179,198.1635,220.7482,0
2024-08-21,204.0655,193.091,216.8748,0
2024-08-22,204.7867,198.1472,213.1382,0
2024-08-23,204.6502,194.9275,213.5393,0
2024-08-26,203.5197,195.5598,214.2631,0
2024-08-27,203.89,197.8303,213.999,0
2024-08-28,203.9972,196.9838,216.6889,0
2024-08-29,204.5528,196.5087,219.506,0
