date,entry_close,pred_close,actual_close,correct
2024-06-10,62.96,63.1883,67.23,1
2024-06-11,62.85,68.7395,67.18,1
2024-06-12,60.52,61.7024,66.59,1
2024-06-13,57.94,65.1956,66.7,1
2024-06-14,57.74,64.7381,67.3,1
2024-06-17,56.95,63.4989,66.55,1
2024-06-18,56.21,66.1506,67.59,1
2024-06-20,58.31,68.772,67.62,1
2024-06-21,58.88,67.0119,68.11,1
2024-06-24,57.81,66.258,66.04,1
2024-06-25,57.79,60.5838,66.91,1
2024-06-26,57.54,63.412,67.53,1
2024-06-27,58.47,64.1373,68.79,1
2024-06-28,59.19,62.2878,69.43,1
2024-07-01,59.21,64.1274,67.95,1
2024-07-02,58.34,63.0332,68.9,1
2024-07-03,58.63,60.1977,69.55,1
2024-07-05,58.26,61.424,69.74,1
2024-07-08,57.4,61.8162,68.64,1
2024-07-09,56.88,69.2847,67.61,1
2024-07-10,56.0,66.0791,67.21,1
2024-07-11,56.6,66.2908,68.66,1
2024-07-12,57.58,66.7796,68.16,1
2024-07-15,58.325,61.1773,68.32,1
2024-07-16,59.16,66.9817,69.97,1
2024-07-17,59.1,64.3504,70.85,1
2024-07-18,59.15,62.9692,70.68,1
2024-07-19,58.87,66.0694,67.89,1
2024-07-22,58.64,60.8673,68.42,1
2024-07-23,59.42,60.1732,68.93,1
2024-07-24,58.16,61.9411,70.2,1
2024-07-25,59.61,61.0292,70.52,1
2024-07-26,60.09,64.678,72.17,1
2024-07-29,60.32,60.3689,72.22,1
2024-07-30,61.05,63.4909,72.54,1
2024-07-31,60.4,62.2653,72.66,1
2024-08-01,58.97,63.7087,72.63,1
2024-08-02,58.49,62.616,73.85,1
2024-08-05,55.63,62.4176,75.5,1
2024-08-06,55.83,62.5985,74.78,1
2024-08-07,55.72,64.97,74.74,1
2024-08-08,56.21,63.3524,75.6,1
2024-08-09,56.38,68.039,75.54,1
2024-08-12,55.32,63.5214,77.75,1
2024-08-13,56.65,60.2955,79.69,1
2024-08-14,57.0,68.128,80.19,1
2024-08-15,57.85,61.362,81.46,1
2024-08-16,58.07,61.9175,85.58,1
2024-08-19,59.82,67.243,86.32,1
2024-08-20,59.13,61.8083,85.04,1
2024-08-21,60.23,63.3312,82.63,1
2024-08-22,68.04,62.0964,81.14,0
2024-08-23,70.14,60.1682,78.93,0
2024-08-26,71.32,60.6497,77.75,0
2024-08-27,71.9,62.7128,78.86,0
2024-08-28,70.69,59.921,81.2,0
2024-08-29,69.94,62.4634,85.88,0
2024-08-30,69.08,64.7671,89.03,0
2024-09-03,68.83,60.7458,83.41,0
2024-09-04,68.19,60.2076,85.36,0
2024-09-05,67.23,71.6066,82.69,1
