date,ticker,tier,mini,small,base,consensus,action,avg_pct,horizon,target_date,entry,tp,sl,filter
2026-04-14,RIVN,A,DOWN,DOWN,UP,MIXED,SKIP,-2.9,40.0,2026-06-09,15.99,0.15,0.02,
2026-04-14,ENVX,A,UP,UP,DOWN,MIXED,SKIP,44.19,90.0,2026-08-18,6.36,0.15,0.02,
2026-04-14,TSLA,B,UP,UP,UP,AGREE UP,BUY,11.51,90.0,2026-08-18,364.2,0.2,0.02,
2026-04-14,BITF,A,UP,UP,DOWN,MIXED,SKIP,0.31,60.0,2026-07-06,2.36,0.25,0.02,
2026-04-14,PATH,A,UP,UP,UP,AGREE UP,BUY,33.3,60.0,2026-07-07,10.02,0.2,0.1,
2026-04-14,HON,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-11.08,60.0,2026-07-07,233.24,0.15,0.1,SHORT DISABLED
2026-04-15,RIVN,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-8.69,40.0,2026-06-10,16.43,0.15,0.02,SHORT DISABLED
2026-04-15,ENVX,A,UP,UP,UP,AGREE UP,SKIP,54.56,90.0,2026-08-19,6.27,0.15,0.02,EARNINGS SKIP
2026-04-15,TSLA,B,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-19.38,90.0,2026-08-19,394.1,0.2,0.02,SHORT DISABLED
2026-04-15,BITF,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-30.79,60.0,2026-07-07,2.84,0.25,0.02,SHORT DISABLED
2026-04-15,PATH,A,UP,UP,UP,AGREE UP,HOLD,32.27,60.0,2026-07-08,10.61,0.2,0.1,
2026-04-15,HON,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-13.1,60.0,2026-07-08,232.19,0.15,0.1,SHORT DISABLED
2026-04-16,RIVN,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-10.0,40.0,2026-06-11,16.52,0.15,0.02,SHORT DISABLED
2026-04-16,ENVX,A,UP,UP,DOWN,MIXED,SKIP,40.58,90.0,2026-08-20,6.2,0.15,0.02,
2026-04-16,TSLA,B,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-9.26,90.0,2026-08-20,383.3,0.2,0.02,SHORT DISABLED
2026-04-16,BITF,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-31.58,60.0,2026-07-08,2.85,0.25,0.02,SHORT DISABLED
2026-04-16,PATH,A,UP,UP,UP,AGREE UP,HOLD,28.16,60.0,2026-07-09,10.81,0.2,0.1,
2026-04-16,HON,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-9.82,60.0,2026-07-09,232.75,0.15,0.1,SHORT DISABLED
2026-04-17,ENVX,A,UP,UP,UP,AGREE UP,SKIP,50.43,90.0,2026-08-20,6.54,0.15,0.02,EARNINGS SKIP
2026-04-17,TSLA,B,DOWN,UP,DOWN,MIXED,SKIP,-5.5,90.0,2026-08-20,388.9,0.2,0.02,
2026-04-17,BITF,A,DOWN,UP,DOWN,MIXED,SKIP,-22.91,60.0,2026-07-10,2.89,0.25,0.02,
2026-04-17,PATH,A,UP,UP,UP,AGREE UP,HOLD,19.12,60.0,2026-07-10,10.41,0.2,0.1,
2026-04-17,HON,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-9.76,60.0,2026-07-10,233.55,0.15,0.1,SHORT DISABLED
2026-04-17,ITW,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-9.07,60.0,2026-07-10,272.26,0.2,0.1,SHORT DISABLED
2026-04-17,NCLH,A,UP,DOWN,UP,MIXED,SKIP,8.65,60.0,2026-07-10,20.99,0.25,0.1,
2026-04-17,NVAX,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-5.5,60.0,2026-07-10,8.84,0.3,0.1,SHORT DISABLED
2026-04-17,WK,A,UP,UP,UP,AGREE UP,HOLD,28.09,60.0,2026-07-10,57.34,0.25,0.1,
2026-04-17,AAL,A,UP,DOWN,DOWN,MIXED,SKIP,-3.42,60.0,2026-07-10,12.78,0.3,0.1,
2026-04-17,RIVN,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-12.72,40.0,2026-06-12,17.23,0.15,0.02,SHORT DISABLED
,PATH,A,,,,NO DATA,SKIP,,,,,,,DATA MISSING
,HON,A,,,,NO DATA,SKIP,,,,,,,DATA MISSING
,ITW,A,,,,NO DATA,SKIP,,,,,,,DATA MISSING
